uid,clientID,previous_read,current_read,amount,total,status,reading_date,due_date,date_created,date_updated
137FA90341E721760,3N1AB7AP0FL342064,8567.2,8586.400000000001,19.2,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
137ZA833X1E181348,JM3KE2BE1E0587192,6004.1,6015.1,11,1000,false,2023-09-10,2023-09-18,2024-01-21,2024-01-21
137ZA90391E648012,WAUGFBFCXEN068601,9125.8,9144.2,18.4,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
19UUA56602A850961,JH4DC54823C137416,6033.3,6050.9,17.6,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
19UUA65574A912339,1C6RD7FPXCS067701,4053.1,4061.4,8.3,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
19UUA65624A564233,WBAEJ13412A207966,6933.1,6944.4,11,165000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
19UUA65635A255078,1FTSW2A57AE002486,6163.7,6177,13.3,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
19UUA65656A806872,SAJWA1CB1BL074881,9787.8,9802.1,14,210000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
19UUA66224A424453,WAUAFAFL6AN331242,2974.9,2989.1,14.2,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
19UUA66264A727560,WAUSH98E77A264534,4211.2,4235.8,24.6,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
19UUA755X7A693841,4JGBB9FB4AA505935,9440.2,9471.3,31.1,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
19UUA8F27BA735658,WAUSF98K69A157229,6722.1,6752.6,30.5,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
19UUA8F79CA479066,WAUMGBFL6CA489784,7607.5,7620.7,13.2,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
19UUA9E54EA624782,5XYKT3A11BG697071,7273.3,7299.8,26.5,1000,true,2023-07-10,2023-07-18,2024-01-21,2024-01-21
19UUA9F23AA051484,1FTMF1EW1AF287685,9230.2,9241.7,11.5,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
19UUB3F57FA081146,3GYFK66N33G862178,9724.2,9754.3,30.1,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
19UYA41713A645677,19UUB2F52FA755844,8724.3,8732.5,8.2,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
19UYA42492A538671,1G6DU6EA7A0909190,8632.7,8659.7,27,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
19UYA42552A110427,3C6JR6CT8DG608215,5516,5524.9,8.9,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
19VDE1F33FE551185,1GYS4UKJ5FR204673,5825.4,5846.9,21.5,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
19XFA1E52BE462975,5XYKT3A14DG220489,6302.2,6317.7,15.5,1000,false,2023-09-10,2023-09-18,2024-01-21,2024-01-21
19XFA1F35BE228391,WBXPA93465W043487,1897.5,1916.4,18.9,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
19XFB4F20EE203148,4JGBB9FB4AA505935,9480.4,9507.8,27.4,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
19XFB4F26FE920056,3D7JB1EP4AG547396,7530.7,7547.9,17.2,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
19XFB4F29FE744362,3GYFNFE38ES115604,5482.2,5512.2,30,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
19XFB4F30EE135166,3GYT4NEF5CG176516,1859.9,1869.3,9.4,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
19XFB4F34EE506393,19UUB2F52FA755844,8644.3,8656.5,12.2,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1B3BD2FB3BN700748,JN8AZ2KR2ET462006,7534.6,7565.5,30.9,1000,false,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1B3CB1HA6AD721199,5XYKT3A14DG220489,6177.1,6192,14.9,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1B3CB9HA1BD512775,JH4NA12684T808965,7576.8,7582.7,5.9,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1C3BC4EB8AN914555,SCFEBBCF0BG807982,9945.5,9965.3,19.8,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1C3BC8EG3BN866967,19UYA41783A267731,7664.1,7679.6,15.5,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1C3BC8EG9BN783107,1G6KD54Y01U158832,4671.8,4689.1,17.3,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1C3BCBFG0EN155484,5XYKT3A61FG281183,5174.8,5205.3,30.5,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1C3BCBFG5CN074607,1LNHL9DR0BG709637,9088.4,9100.3,11.9,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1C3BCBGGXCN922690,3C6JD6EP1CG131415,2530,2543.6,13.6,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1C3CDFEB0ED180521,1G6KD54Y01U158832,4639.4,4650.3,10.9,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1C3CDWEA7CD586171,5UXWX5C52BL162397,10026.5,10058.4,31.9,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
